Citance Number: 1 | Reference Article:  J95-2002.txt | Citing Article:  P96-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This adaptation, related to that of (Stolcke 1995), involves reformulating the Earley algorithm to work with probabilistic recursive transition networks rather than with deterministic production rules.</S> | Reference Offset:  ['140','436'] | Reference Text:  <S sid = 140 ssid = >Notice that the scanning and completion steps are deterministic once the rules have been chosen.</S><S sid = 436 ssid = >Another approach to avoiding the CNF constraint is a formulation based on probabilistic Recursive Transition Networks (RTNs) (Kupiec 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J95-2002.txt | Citing Article:  W12-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the Berkeley grammar, we use a probabilistic Earley parser modified by Levy to calculate exact prefix probabilities using the algorithm of Stolcke (1995).</S> | Reference Offset:  ['223','425'] | Reference Text:  <S sid = 223 ssid = >The modified completion loop in the probabilistic Earley parser can now use the Ru matrix to collapse all unit completions into a single step.</S><S sid = 425 ssid = >The parser now uses the method described here to provide exact SCFG prefix and next-word probabilities to a tightly coupled speech decoder (Jurafsky, Wooters, Segal, Stolcke, Fosler, Tajchman, and Morgan 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J95-2002.txt | Citing Article:  D11-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Efficient algorithms for its solution have been proposed by Jelinek and Lafferty (1991) and Stolcke (1995).</S> | Reference Offset:  ['13','282'] | Reference Text:  <S sid = 13 ssid = >1991).</S><S sid = 282 ssid = >The total time is therefore 0(13) for an input of length 1, which is also the complexity of the standard Inside/Outside (Baker 1979) and LRI (Jelinek and Lafferty 1991) algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J95-2002.txt | Citing Article:  D11-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nonetheless, the partition function can still be approximated to any degree of precision by iterative computation of the relation in (4), as done for instance by Stolcke (1995) and by Abney et al (1999).</S> | Reference Offset:  ['12','224'] | Reference Text:  <S sid = 12 ssid = >In their probabilistic version, which defines a language as a probability distribution over strings, they have been used in a variety of applications: for the selection of parses for ambiguous inputs (Fujisaki et al. 1991); to guide the rule choice efficiently during parsing (Jones and Eisner 1992); to compute island probabilities for non-linear parsing (Corazza et al.</S><S sid = 224 ssid = >Note that we still have to do iterative completion on non-unit productions.</S> | Discourse Facet:  NA | Annotator: Automatic


