Citance Number: 1 | Reference Article:  P09-1074.txt | Citing Article:  C10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since we use automatically extracted markables, it is possible that some extracted markables and the gold standard markables are unmatched, or twinless as defined in Stoyanov et al (2009).</S> | Reference Offset:  ['47','102'] | Reference Text:  <S sid = 47 ssid = >To avoid ambiguity, we will use the term coreference element (CE) to refer to the set of linguistic expressions that participate in the coreference relation, as defined for each of the MUC and ACE tasks.1 At times, it will be important to distinguish between the CEs that are included in the gold standard — the annotated CEs — from those that are generated by the coreference resolution system — the extracted CEs.</S><S sid = 102 ssid = >A twinless extracted CE signals that the resolver extracted a spurious CE, while an annotated CE is twinless when the resolver fails to extract it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1074.txt | Citing Article:  C10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we adopt the B3all variation proposed by Stoyanov et al (2009), which retains all twin less markables.</S> | Reference Offset:  ['14','106'] | Reference Text:  <S sid = 14 ssid = >Soon et al. (2001) and Yang et al.</S><S sid = 106 ssid = >One option, B3all, retains all twinless extracted CEs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1074.txt | Citing Article:  P14-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','233'] | Reference Text:  <S sid = 73 ssid = >The Berkeley parser (Petrov and Klein, 2007) generates phrase structure parse trees, and the de Marneffe et al. (2006) system produces dependency relations.</S><S sid = 233 ssid = >In Proceedings of the Annual Meeting of the North American Chapter of the Association for Computational Linguistics (HLT/NAACL 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1074.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A04CU: Train/dev/test split of the newswire portion of the ACE 2004 training set7 utilized in Culotta et al (2007), Bengston and Roth (2008) and Stoyanov et al (2009).</S> | Reference Offset:  ['14','89'] | Reference Text:  <S sid = 14 ssid = >Soon et al. (2001) and Yang et al.</S><S sid = 89 ssid = >When available, we use the standard test/train split.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P09-1074.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A05ST: Train/test split of the newswire portion of the ACE 2005 training set utilized in Stoyanov et al (2009).</S> | Reference Offset:  ['89','90'] | Reference Text:  <S sid = 89 ssid = >When available, we use the standard test/train split.</S><S sid = 90 ssid = >Otherwise, we randomly split the data into a training and test set following a 70/30 ratio.</S> | Discourse Facet:  NA | Annotator: Automatic


