Citance Number: 1 | Reference Article:  N04-4015.txt | Citing Article:  H05-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another project utilizing morphological analysis for statistical machine translation is described by Lee (2004).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Morphological Analysis For Statistical Machine Translation</S><S sid = 1 ssid = >We present a novel morphological analysis technique which induces a morphological and syntactic symmetry between two languages with highly asymmetrical morphological structures to improve statistical machine translation qualities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-4015.txt | Citing Article:  N07-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee (2004), for example, showed that morphological analysis can improve the quality of statistical machine translation for Arabic.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Morphological Analysis For Statistical Machine Translation</S><S sid = 1 ssid = >We present a novel morphological analysis technique which induces a morphological and syntactic symmetry between two languages with highly asymmetrical morphological structures to improve statistical machine translation qualities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-4015.txt | Citing Article:  P07-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We found that our approach of using lemmatization improved both the word alignment and the quality of SMT with a small amounts of training data, and, while much work indicates that MA is useless in training large amounts of data (Lee, 2004), our intensive experiments proved that the chance to get a better MT quality using lemmatization is higher than that without it for large amounts of training data.</S> | Reference Offset:  ['31','40'] | Reference Text:  <S sid = 31 ssid = >Merge/deletion analysis is applied to all prefixi_tagik/suffixj_tagjk occurring in the appropriate stem tag contexts in the training corpus (for translation model training) and a new input text (for decoding).</S><S sid = 40 ssid = >The number in each cell indicates the number of sentence pairs in each genre (newswires, ummah, UN corpus).4 Impact of morphological analysis on IBM Model 1 is shown in Table 2. distinct tags assigned to the suffixj in the training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-4015.txt | Citing Article:  D11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Often the choice of directionality is motivated by this restriction, and the choice of tokenization style may be designed (Lee, 2004) to reduce this problem.</S> | Reference Offset:  ['7','15'] | Reference Text:  <S sid = 7 ssid = >So called a word (separated by a white space) in Arabic often corresponds to more than one independent word in English, posing a technical problem to the source channel models.</S><S sid = 15 ssid = >We pre-suppose segmentation of a word into prefix(es)-stem-suffix(es), as described in (Lee et al. 2003) The category prefix and suffix encompasses function words such as conjunction markers, prepositions, pronouns, determiners and all inflectional morphemes of the language.</S> | Discourse Facet:  NA | Annotator: Automatic


