Citance Number: 1 | Reference Article:  J05-1004.txt | Citing Article:  W05-1509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To some extent, function labels overlap with semantic role labels as defined in PropBank (Palmer et al, 2005).</S> | Reference Offset:  ['48','392'] | Reference Text:  <S sid = 48 ssid = >Section 5 compares our PropBank methodology and choice of semantic-role labels to those of another semantic annotation project, FrameNet.</S><S sid = 392 ssid = >Table 8 shows the PropBank semantic role labels for the subjects of each verb in each class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J05-1004.txt | Citing Article:  W05-1509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our results confirm the findings in (Palmer et al, 2005).</S> | Reference Offset:  ['406','409'] | Reference Text:  <S sid = 406 ssid = >6.2.2 Results of Prediction 1.</S><S sid = 409 ssid = >6.2.3 Results of Prediction 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J05-1004.txt | Citing Article:  D09-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our experiments on semantic role labeling we used PropBank annotations (Palmer et al, 2005).</S> | Reference Offset:  ['38','49'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 49 ssid = >We conclude the article with a dis- cussion of several preliminary experiments we have performed using the PropBank annotations, and discuss the implications for natural language research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J05-1004.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Example of Semantic Role Labeling from the PropBank dataset (Palmer et al, 2005).</S> | Reference Offset:  ['38','114'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 114 ssid = >For example, in the sentence .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J05-1004.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We focus our experimental study on the semantic role labeling problem (Palmer et al, 2005): being able to give a semantic role to a syntactic constituent of a sentence, i.e. annotating the predicate argument structure in text.</S> | Reference Offset:  ['15','222'] | Reference Text:  <S sid = 15 ssid = >the subject has the same semantic role in both uses.</S><S sid = 222 ssid = >Verbs such as cause, force, and persuade, known as object control verbs, pose a problem for the analysis and annotation of semantic structure.</S> | Discourse Facet:  NA | Annotator: Automatic


