Citance Number: 1 | Reference Article:  P04-1085.txt | Citing Article:  P05-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Galley et al (2004) describe a system that identifies agreement and disagreement occurring in human-to-human multi-party conversations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The ICSI Meeting corpus (Janin et al., 2003) is a collection of 75 meetings collected at the International Computer Science Institute (ICSI), one among the growing number of corpora of humanto-human multi-party conversations.</S><S sid = NA ssid = NA>This definition will help our multi-party analyses of agreement and disagreement behaviors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1085.txt | Citing Article:  P05-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An adjacent pair is said to consist of two parts that are ordered, adjacent, and produced by different speakers (Galley et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An adjacency pair is said to consist of two parts (later referred to as A and B) that are ordered, adjacent, and produced by different speakers.</S><S sid = NA ssid = NA>The annotation of the corpus with adjacency pairs is described in (Shriberg et al., 2004; Dhillon et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1085.txt | Citing Article:  P05-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using them, Galley et al (2004) report an 8% increase in speaker identification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The annotation of the corpus with adjacency pairs is described in (Shriberg et al., 2004; Dhillon et al., 2004).</S><S sid = NA ssid = NA>Our approach achieves 86.9% accuracy, a 4.9% increase over previous work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1085.txt | Citing Article:  D12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Galley et al 2004 show the value of using durational and structural features for identifying agreement and disagreement in spoken conversational speech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Identifying Agreement And Disagreement In Conversational Speech: Use Of Bayesian Networks To Model Pragmatic Dependencies</S><S sid = NA ssid = NA>The annotation of the corpus with adjacency pairs is described in (Shriberg et al., 2004; Dhillon et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1085.txt | Citing Article:  W06-1639.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More sophisticated approaches have been proposed (Hillard et al, 2003), including an extension that, in an interesting reversal of our problem, makes use of sentiment polarity indicators within speech segments (Galley et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The annotation of the corpus with adjacency pairs is described in (Shriberg et al., 2004; Dhillon et al., 2004).</S><S sid = NA ssid = NA>Our accuracy for classifying agreements and disagreements is 86.9%, which is a 4.9% improvement over (Hillard et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


