Citance Number: 1 | Reference Article:  P99-1014.txt | Citing Article:  P00-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Two-dimensional EM-based clustering has been applied to tasks in syntax (Rooth et al, 1999), but so far this approach has not been used to derive models of higher dimensionality and, to the best of our knowledge, this is the first time that it is being applied to speech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There also EM-algorithms for similar probability models have been derived, but applied only to simpler tasks not involving a combination of EMbased clustering models as in our lexicon induction experiment.</S><S sid = NA ssid = NA>The basic ideas of our EM-based clustering approach were presented in Rooth (Ms).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1014.txt | Citing Article:  P00-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>EM-based clustering has been derived and applied to syntax (Rooth et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further applications of our clustering model see Rooth et al. (1998).</S><S sid = NA ssid = NA>The basic ideas of our EM-based clustering approach were presented in Rooth (Ms).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1014.txt | Citing Article:  P00-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated our 3-dimensional clustering models on a pseudo-disambiguation task similar to the one described by Rooth et al (1999), but specied to onset, nucleus, and coda ambiguity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated our clustering models on a pseudodisambiguation task similar to that performed in Pereira et al. (1993), but differing in detail.</S><S sid = NA ssid = NA>The lexicalized probabilistic grammar for German used is described in Beil et al. (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1014.txt | Citing Article:  P10-3013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>e. g. Rooth et al (1999) and Erk (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further applications of our clustering model see Rooth et al. (1998).</S><S sid = NA ssid = NA>The lexicalized probabilistic grammar for German used is described in Beil et al. (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P99-1014.txt | Citing Article:  P13-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar models have been used to learn sub categorization information (Rooth et al, 1999) or properties of verb argument slots (Yao et al,2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The lexicalized probabilistic grammar for German used is described in Beil et al. (1999).</S><S sid = NA ssid = NA>For further applications of our clustering model see Rooth et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


