Citance Number: 1 | Reference Article:  J96-1002.txt | Citing Article:  W97-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach made use of a maximum entropy model (Berger et al, 1996) formulated from frequency information for various combinations of the observed features.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >A Maximum Entropy Approach To Natural Language Processing</S><S sid = 8 ssid = >We present a maximum-likelihood approach for automatically constructing maximum entropy models and describe how to implement this approach efficiently, using as examples several problems in natural language processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J96-1002.txt | Citing Article:  P14-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is not a issue for the MaxEnt classifier as it can deal with arbitrary overlapping features (Berger et al, 1996).</S> | Reference Offset:  ['18','278'] | Reference Text:  <S sid = 18 ssid = >In language modeling, for instance, Bahl et al. (1989) have used decision tree models and Della Pietra et al.</S><S sid = 278 ssid = >Features shown here were the first features selected not from template 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J96-1002.txt | Citing Article:  W06-1643.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We performed feature selection by incrementally growing a log-linear model with order0 features f (x,yt) using a forward feature selection procedure similar to (Berger et al, 1996).</S> | Reference Offset:  ['25','166'] | Reference Text:  <S sid = 25 ssid = >The first task is one of feature selection; the second is one of model selection.</S><S sid = 166 ssid = >To find S, we adopt an incremental approach to feature selection, similar to the strategy used for growing decision trees (Bahl et al. 1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J96-1002.txt | Citing Article:  D11-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the ACL data, where response is the binary cited-or-not variable we use logistic regression, often referred to as a "maximum entropy" model (Berger et al., 1996) or a log-linear model.</S> | Reference Offset:  ['120','374'] | Reference Text:  <S sid = 120 ssid = >The relevant steps are outlined here; the reader is referred to Della Pietra et al. (1995) for a more thorough discussion of constrained optimization as applied to maximum entropy.</S><S sid = 374 ssid = >Thus two different philosophical approaches— maximum entropy and maximum likelihood—yield the same result: the model with the greatest entropy consistent with the constraints is the same as the exponential model which best predicts the sample of data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J96-1002.txt | Citing Article:  P99-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berger et al (1996) and Jelinek (1997) make this same point and arrive at the same estimator, albeit through a maximum entropy argument.</S> | Reference Offset:  ['18','330'] | Reference Text:  <S sid = 18 ssid = >In language modeling, for instance, Bahl et al. (1989) have used decision tree models and Della Pietra et al.</S><S sid = 330 ssid = >It is at this point that the algorithm should terminate.</S> | Discourse Facet:  NA | Annotator: Automatic


