Citance Number: 1 | Reference Article:  P09-1116.txt | Citing Article:  P14-2131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We tried two kinds of indicator features: Bucket features: For both parent and child vectors in a potential dependency, we fire one indicator feature per dimension of each embedding. A similar effect, when changing distributional context window sizes, was found by Lin and Wu (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The features are the words (tokens) in the window.</S><S sid = NA ssid = NA>Second, it reduces the variance in the sizes of the feature vectors of the phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1116.txt | Citing Article:  C10-2137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lin and Wu (2009) further explored a two-stage cluster-based approach: first clustering phrases and then relying on a supervised learner to identify useful clusters and assign proper weights to cluster features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, the supervised learning algorithms can typically identify useful clusters and assign proper weights to them, effectively adapting the clusters to the domain.</S><S sid = NA ssid = NA>In the two-stage cluster-based approaches such as ours, clustering is mostly decoupled from the supervised learning problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1116.txt | Citing Article:  P11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our phrase pair clustering approach is similar inspirit to the work of Lin and Wu (2009), who use K means to cluster (monolingual) phrases and use the resulting clusters as features in discriminative classifiers for a named-entity-recognition and a query classification task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a simple and scalable algorithm for clustering tens of millions of phrases and use the resulting clusters as features in discriminative classifiers.</S><S sid = NA ssid = NA>We presented a simple and scalable algorithm to cluster tens of millions of phrases and we used the resulting clusters as features in discriminative classifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1116.txt | Citing Article:  P11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another distinction is that Lin and Wu (2009) work with phrase types instead of phrase instances, obtaining a phrase type's contexts by averaging the contexts of all its phrase instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The idea is that if we have already seen 300K instances of a phrase, we should have already collected enough data for the phrase.</S><S sid = NA ssid = NA>Phrases are much less so because the words in a phrase provide contexts for one another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P09-1116.txt | Citing Article:  P11-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors wish to thank the anonymous reviewers for their comments.</S><S sid = NA ssid = NA>The most straightforward MapReduce implementation of K-Means would be to have mappers perform Step ii and reducers perform Step iii.</S> | Discourse Facet:  NA | Annotator: Automatic


