Citance Number: 1 | Reference Article:  D07-1072.txt | Citing Article:  P13-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We could use other word-based dependency trees such as trees by the infinite PCFG model (Liang et al, 2007) and syntactic-head or semantic-head dependency trees in Nakazawa and Kurohashi (2012), although it is not our major focus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From the grammar in Figure 6, we generated 2000 trees.</S><S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1072.txt | Citing Article:  P11-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, in all these cases the effective size of the state space (i.e., the number of sub-symbols in the infinite PCFG (Liang et al, 2007), or the number of adapted productions in the adaptor grammar (Johnson et al, 2007)) was not very large.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1072.txt | Citing Article:  P10-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, we can infer the number of nonterminals with a nonparametric Bayesian model (Liang et al., 2007), infer the model more robustly based on a Markov chain Monte Carlo inference (Johnson et al, 2007), and use probabilistic grammar models other than PCFGs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1072.txt | Citing Article:  P10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>696</S><S sid = NA ssid = NA>Assume that z1 is always fixed to a special START state, so we do not need to generate it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1072.txt | Citing Article:  D10-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While Liang et al (2007) demonstrated empirical gains on a synthetic corpus, our experiments focus on unsupervised category refinement on real language data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


