Citance Number: 1 | Reference Article:  P09-1058.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow Kruengkrai et al (2009) and split the CTB 5 into training, development testing and testing sets, as shown in Table 3.</S> | Reference Offset:  ['37','126'] | Reference Text:  <S sid = 37 ssid = >In the testing phase, we can use a dynamic programming algorithm to search for the most likely path out of all candidate paths.</S><S sid = 126 ssid = >In this paper, we used CTB 5.0 (LDC2005T01) as our main corpus, defined the training, development and test sets according to (Jiang et al., 2008a; Jiang et al., 2008b), and designed our experiments to explore the impact of the training corpus size on our approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1058.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kruengkrai et al (2009) made use of character type knowledge for spaces, numerals, symbols, alphabets, Chinese and other characters.</S> | Reference Offset:  ['124','170'] | Reference Text:  <S sid = 124 ssid = >Previous studies on joint Chinese word segmentation and POS tagging have used Penn Chinese Treebank (CTB) (Xia et al., 2000) in experiments.</S><S sid = 170 ssid = >For example, a perceptron algorithm is used for joint Chinese word segmentation and POS tagging (Zhang and Clark, 2008; Jiang et al., 2008a; Jiang et al., 2008b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1058.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kruengkrai et al (2009) and Zhang and Clark (2008) are the most similar to our system among related work.</S> | Reference Offset:  ['147','170'] | Reference Text:  <S sid = 147 ssid = >Zhang and Clark (2008) (Z&C08) generated CTB 3.0 from CTB 4.0.</S><S sid = 170 ssid = >For example, a perceptron algorithm is used for joint Chinese word segmentation and POS tagging (Zhang and Clark, 2008; Jiang et al., 2008a; Jiang et al., 2008b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1058.txt | Citing Article:  D10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of Kruengkrai et al (2009) is based on Nakagawa and Uchimoto (2007), which separates the processing of known words and unknown words, and uses a set of segmentation tags to represent the segmentation of characters.</S> | Reference Offset:  ['25','166'] | Reference Text:  <S sid = 25 ssid = >We represent the search space with a lattice based on the word-character hybrid model (Nakagawa and Uchimoto, 2007).</S><S sid = 166 ssid = >Maximum entropy models are widely used for word segmentation and POS tagging tasks (Uchimoto et al., 2001; Ng and Low, 2004; Nakagawa, 2004; Nakagawa and Uchimoto, 2007) since they only need moderate training times while they provide reasonable performance.</S> | Discourse Facet:  NA | Annotator: Automatic


