Citance Number: 1 | Reference Article:  P97-1005.txt | Citing Article:  A00-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a different kind of model here, logistic regression, which is especially well suited for categorical data analysis (cf. eg. Agresti (1990) or Kessler et al (1997)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We chose logistic regression (LR) as our basic numerical method.</S><S sid = NA ssid = NA>Because of space constraints, we present this amount of detail only for the six GENRE levels, with logistic regression on selected surface variables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1005.txt | Citing Article:  E12-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kessler et al (1997) mention that parsing and word-sense disambiguation can also benefit from genre classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In word-sense disambiguation, many senses are largely restricted to texts of a particular style, such as colloquial or formal (for example the word pretty is far more likely to have the meaning &quot;rather&quot; in informal genres than in formal ones).</S><S sid = NA ssid = NA>First, some applications benefit from categorization according to facet, not genre.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1005.txt | Citing Article:  E12-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Like Kessler et al (1997) and Argamon et al (1998) after them, they exploit (partly) hand-crafted sets of features, which are specific to texts in English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They too begin with a corpus of hand-classified texts, the Brown corpus.</S><S sid = NA ssid = NA>Table 3, by contrast, shows which classifications are assigned for texts that actually belong to a specific known level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1005.txt | Citing Article:  W01-1626.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, additional aspects of a document in uence its relevance, including, e.g., the evidential status of the material presented, and the attitudes expressed about the topic (Kessler et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Computational linguists have been concerned for the most part with two aspects of texts: their structure and their content.</S><S sid = NA ssid = NA>Suppose that we are presented with the unfamiliar category FINANCIAL ANALYSTS.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P97-1005.txt | Citing Article:  P06-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Apart from two notable exceptions, namely Kessler et al (1997) and Rehm (2006) whose implementations require extensive manual annotation (Kessler et al, 1997) or analysis (Rehm, 2006), genres are usually classified as single-label discrete entities, relying on the simplified assumption that a document can be assigned to only one genre.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Apart from giving us a theoretical framework for understanding genres, facets offer two practical advantages.</S><S sid = NA ssid = NA>Is genre a single property or attribute that can be neatly laid out in some hierarchical structure?</S> | Discourse Facet:  NA | Annotator: Automatic


