Citance Number: 1 | Reference Article:  P02-1040.txt | Citing Article:  P02-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As an overall decoding performance measure, we used the BLEU metric (Papineni et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>How does one measure translation performance?</S><S sid = NA ssid = NA>In Section 3, we evaluate the performance of BLEU.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1040.txt | Citing Article:  P14-2122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the bilingual tasks, the publicly available system of Moses (Koehn et al, 2007) with default settings is employed to perform machine translation, and BLEU (Papineni et al, 2002) was used to evaluate the quality.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 3, we evaluate the performance of BLEU.</S><S sid = NA ssid = NA>Our belief is reinforced by a recent statistical analysis of BLEU’s correlation with human judgment for translation into English from four quite different languages (Arabic, Chinese, French, Spanish) representing 3 different language families (Papineni et al., 2002)!</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1040.txt | Citing Article:  N12-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One of the standards for such tuning is minimum error rate training (MERT) (Och, 2003), which directly minimize the loss of translation evaluation measures, i.e. BLEU (Papineni et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bleu: A Method For Automatic Evaluation Of Machine Translation</S><S sid = NA ssid = NA>To judge the quality of a machine translation, one measures its closeness to one or more reference human translations according to a numerical metric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1040.txt | Citing Article:  P10-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate the translation quality using case-insensitive BLEU metric (Papineni et al., 2002) without dropping OOV words, and the feature weights are tuned by minimum error rate training (Och, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 3, we evaluate the performance of BLEU.</S><S sid = NA ssid = NA>A translation using the same words (1-grams) as in the references tends to satisfy adequacy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1040.txt | Citing Article:  W10-1734.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The experiments were evaluated using BLEU (Papineni et al, 2002) and METEOR (Lavie and Agarwal, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our belief is reinforced by a recent statistical analysis of BLEU’s correlation with human judgment for translation into English from four quite different languages (Arabic, Chinese, French, Spanish) representing 3 different language families (Papineni et al., 2002)!</S><S sid = NA ssid = NA>Experiments over large collections of translations presented in Section 5 show that this ranking ability is a general phenomenon, and not an artifact of a few toy examples.</S> | Discourse Facet:  NA | Annotator: Automatic


