Citance Number: 1 | Reference Article:  C00-1007.txt | Citing Article:  W08-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >FERGUS (Bangalore and Rambow,2000) took dependency structures as inputs, and produced XTAG derivations by a stochastic tree model automatically acquired from an annotated corpus.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C00-1007.txt | Citing Article:  W04-2208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, we can automatically estimate English word order by using a language model or an English surface sentence generator such as FERGUS (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C00-1007.txt | Citing Article:  W11-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More generally, the NLG problem of non-deterministic decision making has been addressed from many different angles, including PENMAN-style choosers (Mann and Matthiessen,1983), corpus-based statistical knowledge (Langkilde and Knight, 1998), tree-based stochastic models (Bangalore and Rambow, 2000), maximum entropy based ranking (Ratnaparkhi, 2000), combinatorial pattern discovery (Duboue and McKeown, 2001), instance-based ranking (Varges, 2003), chart generation (White, 2004), planning (Koller and Stone, 2007), or probabilistic generation spaces (Belz, 2008) to name just a few.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C00-1007.txt | Citing Article:  C04-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Fergus system (Bangalore and Rambow, 2000) employs a statistical tree model to select probable trees and a word n-gram model to rank the string candidates generated from the best trees.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C00-1007.txt | Citing Article:  P04-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fergus (Bangalore and Rambow, 2000) used the Penn TreeBank as a corpus, requiring a more substantial transformation algorithm since it requires a lexical predicate-argument structure instead of the TreeBank's representation.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


