Citance Number: 1 | Reference Article:  P97-1023.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hatzivassiloglou and McKeown (1997) presented a method for automatically assigning a + or - orientation label to adjectives known to have some semantic orientation.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Predicting The Semantic Orientation Of Adjectives</S><S sid = 13 ssid = >In this paper, we present and evaluate a method that automatically retrieves semantic orientation information using indirect information collected from a large corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1023.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we use the model labels assigned by hand by Hatzivassiloglou and McKeown, and tile labels automatically obtained by their method and reported in (Hatzivassiloglou and McKeown, 1997) with the following extension: An adjective that appears in k conjunctions will receive (possibly different) labels when analyzed together with all adjectives appearing in at least 2, 3 ..., k conjunctions.</S> | Reference Offset:  ['33','129'] | Reference Text:  <S sid = 33 ssid = >The operations of selecting adjectives and assigning labels were performed before testing our conjunction hypothesis or implementing any other algorithms, to avoid any influence on our labels.</S><S sid = 129 ssid = >However, in all the experiments performed on real corpus data (Section 8), the system correctly found the labels of the groups; any misclassifications came from misplacing an adjective in the wrong group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1023.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The features developed in lhis paper are not only good clues of subjectivity, they can be Mentilied automatically from corpora (see (Hatzivassiloglou and McKeown, 1997), and Section 3 in the present paper).</S> | Reference Offset:  ['13','17'] | Reference Text:  <S sid = 13 ssid = >In this paper, we present and evaluate a method that automatically retrieves semantic orientation information using indirect information collected from a large corpus.</S><S sid = 17 ssid = >Our approach relies on an analysis of textual corpora that correlates linguistic features, or indicators, with I Exceptions include a small number of terms that are both negative from a pragmatic viewpoint and yet stand in an antonyrnic relationship; such terms frequently lexicalize two unwanted extremes, e.g., verbose—terse. semantic orientation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1023.txt | Citing Article:  W11-1716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are using the observations about conjunctive constructions from (Hatzivassiloglou and McKeown, 1997) in our approach.</S> | Reference Offset:  ['30','55'] | Reference Text:  <S sid = 30 ssid = >We then assigned an orientation label (either + or —) to each adjective, using an evaluative approach.</S><S sid = 55 ssid = >However, we can improve performance by noting that conjunctions using but exhibit the opposite pattern, usually involving adjectives of different orientations.</S> | Discourse Facet:  NA | Annotator: Automatic


