Citance Number: 1 | Reference Article:  J88-2006.txt | Citing Article:  C92-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More independent of this approach are suggestions made by Moens and Steedmalt (1988) and by Webber (1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One way in English is via a perfect-tensed clause, which Computational Linguistics, Volume 14, Number 2, June 1988 69 Bonnie Lynn Webber Tense as Discourse Anaphor explicitly evokes another event, temporally earlier than the one currently in focus.</S><S sid = NA ssid = NA>(These Computational Linguistics, Volume 14, Number 2, June 1988 67 Bonnie Lynn Webber Tense as Discourse Anaphor cover similar phenomena to the macromoves described in Nakhimovsky, also this volume.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J88-2006.txt | Citing Article:  W06-1623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We define a temporal segment to be a fragment of text that does not exhibit abrupt changes in temporal focus (Webber, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To hint again at what is to come: in Section 3.2, I will propose a temporal analogue of DF, which I have called temporal focus (TF).</S><S sid = NA ssid = NA>Over the discourse segment, other discourse entities in the segment's focus space may in turn become DF.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J88-2006.txt | Citing Article:  P99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Becky Passonneau, Debby Dahl, Mark Steedman, Ethel Schuster, Candy Sidner, Barbara Grosz, Ellen Bard, Anne Anderson, Tony Sanford, Simon Garrod, and Rich Thomason for their helpful comments on the many earlier versions of this paper.</S><S sid = NA ssid = NA>This work was partially supported by ARO grant DAA29-884-9-0027, NSF grant MCS-8219116-CER, and DARPA grant N00014-85-K-0018 to the University of Pennsylvania, by DARPA grant N00014-85-C-0012 to UNISYS Paoli Research Center, and an Alvey grant to the Centre for Speech Technology Research, University of Edinburgh.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J88-2006.txt | Citing Article:  W06-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Becky Passonneau, Debby Dahl, Mark Steedman, Ethel Schuster, Candy Sidner, Barbara Grosz, Ellen Bard, Anne Anderson, Tony Sanford, Simon Garrod, and Rich Thomason for their helpful comments on the many earlier versions of this paper.</S><S sid = NA ssid = NA>This work was partially supported by ARO grant DAA29-884-9-0027, NSF grant MCS-8219116-CER, and DARPA grant N00014-85-K-0018 to the University of Pennsylvania, by DARPA grant N00014-85-C-0012 to UNISYS Paoli Research Center, and an Alvey grant to the Centre for Speech Technology Research, University of Edinburgh.</S> | Discourse Facet:  NA | Annotator: Automatic


