Citance Number: 1 | Reference Article:  N07-1030.txt | Citing Article:  P07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Denis and Baldridge (2007) report 67.1 F1 and 69.2 F1 on the English NWIRE and BNEWS respectively using true mention boundaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Despite having lower precision than COREF-PAIRWISE, the COREF-ILP system obtains very large gains in recall to end up with overall f-score gains of 4.3%, 4.2%, and 3.0% across BNEWS, NPAPER, and NWIRE, respectively.</S><S sid = NA ssid = NA>There are also improvements in recall over COREF-ILP for NPAPER and NWIRE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N07-1030.txt | Citing Article:  P13-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is also similar to the MLN-JOINT (BF) model of Song et al (2012), but we enforce the single parent constraint at a deeper structural level, allowing us to treat non-anaphoricity symmetrically with coreference as in Denis and Baldridge (2007) and Stoyanov and Eisner (2012).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Soon et. al.</S><S sid = NA ssid = NA>In the system of Soon et. al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N07-1030.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Denis and Baldridge (2007) adopted an Integer Linear Programming (ILP) formulation for coreference resolution which models anaphoricity and coreference as a joint task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we propose an integer linear programming (ILP) formulation for coreference resolution which models anaphoricity and coreference as a joint task, such that each local model informs the other for the final assignments. joint ILP formulation provides score improvements of 3.7-5.3% over a base coreference classifier on the ACE datasets.</S><S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N07-1030.txt | Citing Article:  D08-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by NSF grant IIS0535154.</S><S sid = NA ssid = NA>This section provides the performance of the pairwise coreference classifier, both when used alone (COREF-PAIRWISE) and when used in a cascade where the anaphoricity classifier acts as a filter on which mentions should be resolved (AC-CASCADE).</S> | Discourse Facet:  NA | Annotator: Automatic


