Citance Number: 1 | Reference Article:  C02-1144.txt | Citing Article:  C04-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Different measures have been proposed, which are not easy to evaluate (see (Lin and Pantel, 2002) for proposals).</S> | Reference Offset:  ['15','105'] | Reference Text:  <S sid = 15 ssid = >One way to deal with these problems is to use a clustering algorithm to automatically induce semantic classes (Lin and Pantel 2001).</S><S sid = 105 ssid = >Many cluster evaluation schemes have been proposed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1144.txt | Citing Article:  P06-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >NLP researchers have developed many algorithms for mining knowledge from text and the Web, including facts (Etzioni et al 2005), semantic lexicons (Riloff and Shepherd 1997), concept lists (Lin and Pantel 2002), and word similarity lists (Hindle 1990).</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >Concept Discovery From Text</S><S sid = 15 ssid = >One way to deal with these problems is to use a clustering algorithm to automatically induce semantic classes (Lin and Pantel 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1144.txt | Citing Article:  E09-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The labeled classes are acquired in three stages: 1) extraction of a noisy pool of pairs of a class label and a potential class instance, by applying a few Is-A extraction patterns, selected from (Hearst, 1992), to Web documents: (fruits, apple), (fruits, corn), (fruits, mango), (fruits, orange), (foods, broccoli), (crops, lettuce), (flowers, rose); 2) extraction of unlabeled clusters of distributionally similar phrases, by clustering vectors of contextual features collected around the occurrences of the phrases within Web documents (Lin and Pantel, 2002).</S> | Reference Offset:  ['126','131'] | Reference Text:  <S sid = 126 ssid = >We start with a list of m empty sets, each of which is labeled with a class in the answer key.</S><S sid = 131 ssid = >If an element is in a set whose class is not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1144.txt | Citing Article:  C08-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >Phase II: Find committees.</S><S sid = 213 ssid = >This research was partly supported by Natural Sciences and Engineering Research Council of Canada grant OGP121338 and scholarship PGSB207797.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C02-1144.txt | Citing Article:  C08-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For CBC we simply used the same parameter values as reported in (Lin and Pantel, 2002).</S> | Reference Offset:  ['71','148'] | Reference Text:  <S sid = 71 ssid = >If the condition is violated, the committee is simply discarded.</S><S sid = 148 ssid = >We collected the frequency counts of the grammatical relationships (contexts) output by Minipar and used them to compute the pointwise mutual information values from Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


