Citance Number: 1 | Reference Article:  C96-1058.txt | Citing Article:  P14-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Structures and rules for parsing with the (Eisner, 1996) algorithm.</S> | Reference Offset:  ['24','50'] | Reference Text:  <S sid = 24 ssid = >.are not lexicM, and (as far ~ as we know) lacl( a parsing algorithm of efficiency compara.ble to link grammars."</S><S sid = 50 ssid = >We SiAl)- ulate that the model discards flom the popula+tion tiny illegal structures that it generates; they do not appear in either training or test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-1058.txt | Citing Article:  P14-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In that work, as here, inference is simply the Eisner first-order parsing model (Eisner, 1996) shown in Figure 2. In order to score higher-order features, each chart item maintains a list of signatures, which represent subtrees consistent with the chart item.</S> | Reference Offset:  ['64','156'] | Reference Text:  <S sid = 64 ssid = >(This change (;an be rellected in the conceptual model, by stating that tire l,ij decisions are Hla(le ill increasing order of link length l i - - J l  and are no longer indepen(lent.)</S><S sid = 156 ssid = >When spans a and b are combined and one more link is added, it is easy to compute the resulting spans score: score(a), score(b)./?r(covering l ink)) When a span constitutes a parse of the whole input sentence, its score as just computed proves to be the parse probability, conditional on the tree root EOS, under model C. The highest-probability parse can therefore be built by dynamic program- ming, where we build and retain the highest- scoring span of each signature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-1058.txt | Citing Article:  P01-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >context-free rules Charniak (1996) Collins (1996), Eisner (1996) context-free rules, headwords Charniak (1997) context-free rules, headwords, grandparent nodes Collins (2000) context-free rules, headwords, grandparent nodes/rules, bi grams, two-level rules, two-level bi grams, non headwords Bod (1992) all fragments within parse trees Scope of Statistical Dependencies Model Figure 4.</S> | Reference Offset:  ['7','92'] | Reference Text:  <S sid = 7 ssid = >Other researchers, not wishing to abandon context-flee grammar (CI"G) but disillusioned with its lexica] blind spot, have tried to re-parameterize stochas- tic CI"G in context-sensitive ways (Black et al., 1992) or have augmented the formalism with lex- ical headwords (Magerman, 1995; Collins, 11996).</S><S sid = 92 ssid = >This is a sort of lexicalized context-free model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-1058.txt | Citing Article:  P09-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Viterbi decoding is done using Eisner's algorithm (Eisner, 1996).</S> | Reference Offset:  ['1','230'] | Reference Text:  <S sid = 1 ssid = >200 S. 33rd  St. ,  Ph i lade lph ia ,  PA  19104-6"{89, USA j eisner@linc, cis.</S><S sid = 230 ssid = >St~ttisti(:~d decision-tree models for p~using, in Proceedings of the 33rd An- nual Meeting of the A CL, l~oston, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


