Citance Number: 1 | Reference Article:  S10-1011.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally in terms of evaluation, our future work also focuses on evaluating HRGs using a fine grained sense inventory, extending the evaluation on the SemEval-2010 WSI task dataset (Manandhar et al., 2010) as well as applying HRGs to other related tasks such as taxonomy learning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The evaluation framework of SemEval-2010 WSI task considered two types of evaluation.</S><S sid = NA ssid = NA>Our future work will focus on the assessment of sense induction on a task-oriented basis as well as on clustering evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  S10-1011.txt | Citing Article:  P12-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to Manandhar et al (2010), we use WordNet to first randomly select one synset of the first word, we then construct a set of words in various relations to the first word's chosen synset, including hypernyms, hyponyms, holonyms, meronyms and attributes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The relations considered were WordNet’s hypernyms, hyponyms, synonyms, meronyms and holonyms.</S><S sid = NA ssid = NA>The target word dataset consisted of 100 words, i.e.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  S10-1011.txt | Citing Article:  W11-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Last, we include all the nouns and verbs used in the SemEval 2010 WSI Task (Manandhar et al, 2010), which are used in our evaluation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Neither of these measures were used in the SemEval2007 WSI task.</S><S sid = NA ssid = NA>The evaluation framework of SemEval-2010 WSI task considered two types of evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  S10-1011.txt | Citing Article:  E12-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our primary WSI evaluation is based on the dataset provided by the SemEval-2010 WSI shared task (Manandhar et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The evaluation framework of SemEval-2010 WSI task considered two types of evaluation.</S><S sid = NA ssid = NA>The primary aim of SemEval-2010 WSI task is to allow comparison of unsupervised word sense induction and disambiguation systems.</S> | Discourse Facet:  NA | Annotator: Automatic


