Citance Number: 1 | Reference Article:  P03-1010.txt | Citing Article:  I05-6002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used a bilingual corpus (Utiyama and Isahara, 2003) to examine which semantic frames of BFN contained LUs relevant to the Japanese verb osou.</S> | Reference Offset:  ['216','231'] | Reference Text:  <S sid = 216 ssid = >This is the first attempt at a Japanese-English bilingual corpus.</S><S sid = 231 ssid = >We have applied our measures to a Japanese and English bilingual corpus and these are language independent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1010.txt | Citing Article:  P06-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The bilingual corpus used for our experiments was obtained from an automatically sentence aligned Japanese/English Yomiuri newspaper corpus consisting of 180K sentence pairs (refer to Table1) (Utiyama and Isahara, 2003).</S> | Reference Offset:  ['70','216'] | Reference Text:  <S sid = 70 ssid = >We evaluated the implemented program against a corpus consisting of manually aligned Japanese and English sentences.</S><S sid = 216 ssid = >This is the first attempt at a Japanese-English bilingual corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1010.txt | Citing Article:  N07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Utiyama and Isahara (2003) extract Japanese-English parallel sentences from a noisy-parallel corpus.</S> | Reference Offset:  ['1','228'] | Reference Text:  <S sid = 1 ssid = >We have aligned Japanese and English news articles and sentences to make a large parallel corpus.</S><S sid = 228 ssid = >They enhance each other and allow valid article and sentence alignments to be reliably extracted from an extremely noisy Japanese-English parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1010.txt | Citing Article:  E09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used 1000 sentence pairs extracted from pre-aligned data (Utiyama and Isahara, 2003) as a gold standard.</S> | Reference Offset:  ['73','131'] | Reference Text:  <S sid = 73 ssid = >We used 12 pairs of texts for evaluation.</S><S sid = 131 ssid = >We used the same data in Table 1 to calculate statistics on AVSIM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1010.txt | Citing Article:  C10-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Munteanu and Marcu (2005) apply the Lemur IR toolkit, Utiyama and Isahara (2003) use the BM25 similarity measure, and Fung and Cheung (2004) use cosine similarity.</S> | Reference Offset:  ['77','80'] | Reference Text:  <S sid = 77 ssid = >We use BM25 and SIM to evaluate the similarity in articles and sentences, respectively.</S><S sid = 80 ssid = >BM25 measures the similarity between two bags of words.</S> | Discourse Facet:  NA | Annotator: Automatic


