Citance Number: 1 | Reference Article:  J93-2004.txt | Citing Article:  C94-2149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Of the 1600 IBM sentences that have been parsed (those available from the Penn Treebank [Marcus et al, 19931), only 67 overlapped with the IBM-manual treebank that was bracketed by University of Lancaster.</S> | Reference Offset:  ['0','326'] | Reference Text:  <S sid = 0 ssid = >Building a Large Annotated Corpus of English: The Penn Treebank Mitchell P. Marcus* University of Pennsylvania Mary Ann Marcinkiewicz~ University of Pennsylvania Beatrice Santorini t Northwestern University 1.</S><S sid = 326 ssid = >The IBM sentences are taken from IBM computer manuals; they are chosen to contain a vocabulary of 3,000 words, and are limited in length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-2004.txt | Citing Article:  P14-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn Discourse Treebank (PDTB) (Prasad et al., 2008) provides annotations for the arguments and relation senses of one hundred pre-selected discourse connectives over the news portion of the Penn Treebank corpus (Marcus et al, 1993).</S> | Reference Offset:  ['154','313'] | Reference Text:  <S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S><S sid = 313 ssid = >326 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-2004.txt | Citing Article:  W95-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Marcus et al (1993) found that direct annotation takes twice as long as automatic tagging plus correction, for part-of-speech annotation.</S> | Reference Offset:  ['155','351'] | Reference Text:  <S sid = 155 ssid = >Building a Large Annotated Corpus of English This experiment showed that manual tagging took about twice as long as correcting, with about twice the inter-annotator disagreement rate and an error rate that was about 50% higher.</S><S sid = 351 ssid = >Some users would like a less skeletal form of annotation of surface 328 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-2004.txt | Citing Article:  S12-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Agirre et al (2008) applied two state-of-the-art tree bank parsers to the sense tagged subset of the Brown corpus version of the Penn Treebank (Marcus et al, 1993), and added sense annotation to the training data to evaluate their impact on parse selection and specifically on PP attachment.</S> | Reference Offset:  ['154','204'] | Reference Text:  <S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S><S sid = 204 ssid = >320 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J93-2004.txt | Citing Article:  W99-0621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These data sets were based on the Wall Street Journal corpus in the Penn Treebank (Marcus et al, 1993).</S> | Reference Offset:  ['80','204'] | Reference Text:  <S sid = 80 ssid = >316 Mitchell P. Marcus et al.</S><S sid = 204 ssid = >320 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


