Citance Number: 1 | Reference Article:  P06-1095.txt | Citing Article:  W06-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To further facilitate further research, our tools as well as labeled vectors (unclosed as well as closed) are available for others to experiment with.</S><S sid = NA ssid = NA>In addition, a program, as a baseline, can trivially link all tagged events and times, getting 100% recall on Task A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1095.txt | Citing Article:  P14-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To further facilitate further research, our tools as well as labeled vectors (unclosed as well as closed) are available for others to experiment with.</S><S sid = NA ssid = NA>In addition, a program, as a baseline, can trivially link all tagged events and times, getting 100% recall on Task A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1095.txt | Citing Article:  S10-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach for labelling temporal relations (or TLINKs) is based on NLTK's maximum entropy classifier, using the feature sets initially proposed in Mani et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We showed that temporal reasoning can be used as an oversampling method to dramatically expand the amount of training data for TLINK labeling, resulting in labeling predictive accuracy as high as 93% using an off-the-shelf Maximum Entropy classifier.</S><S sid = NA ssid = NA>To address data sparseness, we used temporal reasoning as an oversampling method to dramatically expand the amount of training data, resulting in predictive accuracy on link labeling as high as 93% using a Maximum Entropy classifier on human annotated data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1095.txt | Citing Article:  S10-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, the features in Mani et al (2006) are augmented with those used to describe signals detailed in Derczynski and Gaizauskas (2010), with some slight changes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For event-time links, we used the above event and signal features along with TIMEX3 time features.</S><S sid = NA ssid = NA>(Berglund et al. 2006) use a document-level evaluation approach pioneered by (Setzer and Gaizauskas 2000), which uses a distinct evaluation metric.</S> | Discourse Facet:  NA | Annotator: Automatic


