Citance Number: 1 | Reference Article:  J97-3003.txt | Citing Article:  C10-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One could also expand the lexicon, by adapting algorithms for analyzing unknown words (e.g., Mikheev, 1997).</S> | Reference Offset:  ['100','208'] | Reference Text:  <S sid = 100 ssid = >We put all the hapax words from the Brown Corpus that were found in the cELEx-derived lexicon into the test collection (test lexicon) and all other words from the cELEx-derived lexicon into the training lexicon.</S><S sid = 208 ssid = >Because of the similarities in the algorithms with the LISP implemented Xerox tagger, we could directly use the Xerox guessing rule set with the HMM tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-3003.txt | Citing Article:  P07-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have used LTPOS (Mikheev, 1997), which performed the task almost error less.</S> | Reference Offset:  ['176','215'] | Reference Text:  <S sid = 176 ssid = >There are a number of standard parameters (Lewis 1991) used for measuring performance on this kind of task.</S><S sid = 215 ssid = >These words were not used in the training of the tagger either.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-3003.txt | Citing Article:  W02-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Step 6 contains a call to the other main LT TTT program, LTOPS (Mikheev, 1997), which performs both sentence identification and POS tagging.</S> | Reference Offset:  ['178','205'] | Reference Text:  <S sid = 178 ssid = >To see how well the guesser performs, we can compare the results of the guessing with the PUS-tags known to be true for the word (i.e., listed in the lexicon).</S><S sid = 205 ssid = >Our main interest is in how the advantage of one rule set over another will affect the tagging performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-3003.txt | Citing Article:  W05-0617.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The search for such rules has previously been conducted in the context of supervised part-of-speech tagging (Mikheev, 1997).</S> | Reference Offset:  ['204','264'] | Reference Text:  <S sid = 204 ssid = >The task of unknown-word guessing is, however, a subtask of the overall part-of-speech tagging process.</S><S sid = 264 ssid = >Evaluation of tagging accuracy on unknown words using texts and words unseen at the training phase showed that tagging with the automatically induced cascading guesser was consistently more accurate than previously quoted results known to the author (85%).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J97-3003.txt | Citing Article:  N03-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tagging and chunking is done by a standard tagger and chunker, LTPos (Mikheev,1997).</S> | Reference Offset:  ['211','223'] | Reference Text:  <S sid = 211 ssid = >We also tried hybrid tagging using the output of the HMM tagger as the input to Brill's final state tagger, but it gave poorer results than either of the taggers and we decided not to consider this tagging option.</S><S sid = 223 ssid = >In our tagging experiments, we measured the error rate of tagging on unknown words using different guessers.</S> | Discourse Facet:  NA | Annotator: Automatic


