Citance Number: 1 | Reference Article:  P02-1050.txt | Citing Article:  W02-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work (Hwa et al, 2002) suggests that translational corresponence of linguistic structures can indeed be useful in projecting parses across languages.</S> | Reference Offset:  ['97','107'] | Reference Text:  <S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S><S sid = 107 ssid = >How useful is the DCA?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1050.txt | Citing Article:  P13-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependency projection method DPA (Hwa et al, 2005) based on Direct Correspondence Assumption (Hwa et al, 2002) can be described as: if there is a pair of source words with a dependency relationship, the corresponding aligned words in target sentence can be considered as having the same dependency relationship equivalently.</S> | Reference Offset:  ['27','97'] | Reference Text:  <S sid = 27 ssid = >Here, R(x , y) may specify a head-modifier relationship between words in a dependency tree, or a sisterhood relationship between nonterminals in a constituency tree.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1050.txt | Citing Article:  W04-1910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This idea was followed by (Hwa et al, 2002) who investigated English to Chinese projections based on the direct correspondence assumption.</S> | Reference Offset:  ['80','97'] | Reference Text:  <S sid = 80 ssid = >We investigated two ways of addressing this issue.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1050.txt | Citing Article:  P06-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work has primarily focused on the projection of grammatical (Yarowsky and Ngai, 2001) and syntactic information (Hwa et al, 2002).</S> | Reference Offset:  ['8','11'] | Reference Text:  <S sid = 8 ssid = >2001.</S><S sid = 11 ssid = >2001.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1050.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Analogously to Hwa et al (2002), we investigate whether there are indeed semantic correspondences between two languages, since there is little hope for projecting meaningful annotations in nonparallel semantic structures.</S> | Reference Offset:  ['22','97'] | Reference Text:  <S sid = 22 ssid = >As art example where the DCA relates dependency structures, consider the hierarchical alignment algorithm proposed by Alshawi et al. (2000).</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


