Citance Number: 1 | Reference Article:  P07-1037.txt | Citing Article:  W07-0702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a simple way of including syntactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This way we directly extend the baseline model described in section 3 with supertags both in the phrase translation table and in the language model.</S><S sid = NA ssid = NA>The lexical entries are syntactic constructs (graphs) that specify information such as POS tag, subcategorization/dependency information and other syntactic constraints at the level of agreement features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1037.txt | Citing Article:  W07-0702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We carried out experiments on the NIST open domain news translation task from Arabic into English.</S><S sid = NA ssid = NA>Data and Settings The experiments were conducted for Arabic to English translation and tested on the NIST 2005 evaluation set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1037.txt | Citing Article:  W12-0116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach is slightly different from (Birch et al, 2007) and (Hassan et al, 2007), who mainly used the supertags on the target language side, English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Coming right up to date, (Marcu et al., 2006) The bidirectional word alignment is used to obtain demonstrate that ‘syntactified’ target language phrase translation pairs using heuristics presented in phrases can improve translation quality for Chinese– 289 2http://www.fjoch.com/GIZA++.html (Och & Ney, 2003) and (Koehn et al., 2003), and the Moses decoder was used for phrase extraction and decoding.3 Let t and s be the target and source language sentences respectively.</S><S sid = NA ssid = NA>(Hockenmaier, 2003; Chen et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1037.txt | Citing Article:  W08-0326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Supertagging (Hassan et al, 2007b): incorporating lexical syntactic descriptions, in the form of supertags, to the language model and target side of the translation model in order to better inform decoding.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work we show that incorporating lexical syntactic descriptions in the form of supertags can yield significantly better PBSMT systems.</S><S sid = NA ssid = NA>We describe a novel PBSMT model that integrates supertags into the target language model and the target side of the translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


