Citance Number: 1 | Reference Article:  N06-1058.txt | Citing Article:  W11-1609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kauchak and Barzilay (2006) have shown that creating synthetic reference sentences by substituting synonyms from Wordnet into the original reference sentences can increase the number of exact word matches with an MT system's output and yield significant improvements in correlations of BLEU (Papineni et al., 2002) scores with human judgments of translation adequacy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This synthetic reference then replaces the original human reference in automatic evaluation.</S><S sid = NA ssid = NA>The synthetic reference keeps the meaning of the original reference, but has a higher word overlap with the system output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1058.txt | Citing Article:  W08-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Deriving lexical relatedness between terms has been a topic of interest with applications in word sense disambiguation (Patwardhan et al, 2005), paraphrasing (Kauchak and Barzilay, 2006), question answering (Prager et al, 2001), and machine translation (Blatz et al, 2004) to name a few.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Pearson correlation is calculated over these ten pairs (Papineni et al., 2002; Stent et al., 2005).</S><S sid = NA ssid = NA>These techniques are widely used in NLP applications, including language modeling, information extraction, and dialogue processing (Haghighi et al., 2005; Serafin and Eugenio, 2004; Miller et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1058.txt | Citing Article:  P09-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banerjee and Lavie (2005) and Chan and Ng (2008) use WordNet, and Zhou et al (2006) and Kauchak and Barzilay (2006) exploit large collections of automatically-extracted paraphrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Pearson correlation is calculated over these ten pairs (Papineni et al., 2002; Stent et al., 2005).</S><S sid = NA ssid = NA>Examples of such knowledge sources include stemming and TF-IDF weighting (Babych and Hartley, 2004; Banerjee and Lavie, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1058.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kauchak and Barzilay (2006) used paraphrases of the reference translations to improve automatic MT evaluation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Pang et al. (2003) expand a set of reference translations using syntactic alignment, and generate new reference sentences that could be used in automatic evaluation.</S><S sid = NA ssid = NA>The key findings of our work are as follows: (1) Automatically generated paraphrases improve the accuracy of the automatic evaluation methods.</S> | Discourse Facet:  NA | Annotator: Automatic


