Citance Number: 1 | Reference Article:  J07-4004.txt | Citing Article:  W09-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clark and Curran (2007) show that both accurate and highly efficient parsing is possible using a CCG.</S> | Reference Offset:  ['15','30'] | Reference Text:  <S sid = 15 ssid = >We demonstrate that both accurate and highly efficient parsing is possible with CCG.</S><S sid = 30 ssid = >We demonstrate that both accurate and highly efficient parsing is possible with CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From a parsing perspective, the C & C parser (Clark and Curran, 2007) has been shown to be competitive with state-of-theart statistical parsers on a variety of test suites, including those consisting of grammatical relations (Clark and Curran, 2007), Penn Treebank phrase structure trees (Clark and Curran, 2009), and unbounded dependencies (Rimell et al, 2009).</S> | Reference Offset:  ['490','796'] | Reference Text:  <S sid = 490 ssid = >The lexical category set used by the supertagger is described in Clark and Curran (2004a) and Curran, Clark, and Vadas (2006).</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, the parsing work by Clark and Curran (2007), and also Hockenmaier (2003) and Fowler and Penn (2010), has only considered chart-parsing.</S> | Reference Offset:  ['518','796'] | Reference Text:  <S sid = 518 ssid = >The philosophy in earlier work which combined the supertagger and parser (Clark, Hockenmaier, and Steedman 2002; Clark and Curran 2003) was to use an unrestrictive setting of the supertagger, but still allow a reasonable compromise between speed and accuracy.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Clark and Curran (2007), we assume that each input word has been assigned a POS-tag (from the Penn Treebank tag set) and a set of CCG lexical categories.</S> | Reference Offset:  ['467','487'] | Reference Text:  <S sid = 467 ssid = >Each of these features is again generalized by replacing the word associated with the lexical category with its POS tag.</S><S sid = 487 ssid = >For words seen less than k times, an alternative based on the word’s POS tag is used: The tagger can only assign categories which have been seen with the POS tag in the data.</S> | Discourse Facet:  NA | Annotator: Automatic


