Citance Number: 1 | Reference Article:  J90-1004.txt | Citing Article:  P14-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Shieber et al., 1990) introduces a head-driven algorithm for generating from logical forms.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J90-1004.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Whereas Shieber et al (1990) have discussed similar techniques in the context of semantic head-driven generation, we are concerned here with parsing.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J90-1004.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We view the linking relation not simply as a filter to increase efficiency within the domain of syntactic analysis; this aspect is stressed by Shieber (1985) and other investigators such as Bouma (1991), but rather as a device for the top-down predictive instantiation of information, as Shieber et al (1990) have shown for semantic-head-driven generation.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J90-1004.txt | Citing Article:  C94-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The previously proposed semantic-head-driven methods run into problems if none of the daughter constituents in the syntactic semantic rule schemata of a grammar fits the definition of a semantic head given in [Shieber et al, 1990].</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


