Citance Number: 1 | Reference Article:  P95-1021.txt | Citing Article:  E99-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section we consider two existing grammars: the XTAG grammar, a wide coverage LTAG, and the LEXSYS grammar, a wide coverage D-Tree Substitution Grammar (Rambow et al, 1995).</S> | Reference Offset:  ['3','75'] | Reference Text:  <S sid = 3 ssid = >We define a new grammar formalism, called D-Tree arises from work on Tree- Adjoining Grammars (TAG) (Joshi et al., 1975).</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P95-1021.txt | Citing Article:  P00-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sister-adjunctionis not an operation found in standard de ni tions of TAG, but is borrowed from D-TreeGrammar (Rambow et al, 1995).</S> | Reference Offset:  ['70','157'] | Reference Text:  <S sid = 70 ssid = >The second composition operation involving dtrees is called sister-adjunction.</S><S sid = 157 ssid = >The second composition operation involving dtrees is called sister-adjunction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P95-1021.txt | Citing Article:  P01-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It also has much in common with d tree substitution grammar (Rambow et al, 1995).</S> | Reference Offset:  ['3','75'] | Reference Text:  <S sid = 3 ssid = >We define a new grammar formalism, called D-Tree arises from work on Tree- Adjoining Grammars (TAG) (Joshi et al., 1975).</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P95-1021.txt | Citing Article:  P03-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','275'] | Reference Text:  <S sid = 93 ssid = >This information is encoded in the derivation tree (Vijay-Shanker, 1987).</S><S sid = 275 ssid = >Rambow was supported by the North Atlantic Treaty Organization under a Grant awarded in 1993, while at TALANA, Universite Paris 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P95-1021.txt | Citing Article:  D09-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These spines can be combined using a sister-ad junction operation (Rambow et al, 1995), to form larger pieces of structure.</S> | Reference Offset:  ['61','147'] | Reference Text:  <S sid = 61 ssid = >D-trees can be composed using two operations: subsertion and sister-adjunction.</S><S sid = 147 ssid = >D-trees can be composed using two operations: subsertion and sister-adjunction.</S> | Discourse Facet:  NA | Annotator: Automatic


