Citance Number: 1 | Reference Article:  W05-0625.txt | Citing Article:  H05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its architecture is based on the top system in the 2005 CoNLL shared task (Koomen et al, 2005), modified to process raw text using lower level processors but maintaining 6 good real time performance.</S> | Reference Offset:  ['6','33'] | Reference Text:  <S sid = 6 ssid = >Significant improvement in overall SRL performance through this inference is illustrated.</S><S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W05-0625.txt | Citing Article:  H05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Details of them can be found in (Koomen et al, 2005).</S> | Reference Offset:  ['33','56'] | Reference Text:  <S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S><S sid = 56 ssid = >It improves the basic Winnow multiplicative update rule with a regularization term, which has the effect of trying to separate the data with a large margin separator (Grove and Roth, 2001; Hang et al., 2002) and voted (averaged) weight vector (Freund and Schapire, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W05-0625.txt | Citing Article:  W08-1810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only recently we have been able to test Koomen et al (2005) SRL tool.</S> | Reference Offset:  ['2','62'] | Reference Text:  <S sid = 2 ssid = >Overall results on the development and test sets are shown in Table 1.</S><S sid = 62 ssid = >The evaluation on both test sets which included running Overall results on the development and test sets are shown in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W05-0625.txt | Citing Article:  P09-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This module is re trained in our SRC experiments, using parameters described in (Koomen et al, 2005).</S> | Reference Offset:  ['33','60'] | Reference Text:  <S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S><S sid = 60 ssid = >The parameters are optimized on the development set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W05-0625.txt | Citing Article:  W08-2136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Combining the output from several different systems has been shown to be beneficial (Koomen et al, 2005).</S> | Reference Offset:  ['49','51'] | Reference Text:  <S sid = 49 ssid = >In fact, these two parsers have noticeably different output.</S><S sid = 51 ssid = >Together we have six different outputs per predicate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W05-0625.txt | Citing Article:  E09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These were first annotated with semantic roles using a state of-the-art semantic role labeling system (Koomen et al, 2005).</S> | Reference Offset:  ['0','33'] | Reference Text:  <S sid = 0 ssid = >Generalized Inference With Multiple Semantic Role Labeling Systems</S><S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic
