Citance Number: 1 | Reference Article:  J03-3002.txt | Citing Article:  P04-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches such as harvesting parallel corpora from the web (Resnik and Smith, 2003) address the creation of data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We plan to address this in future work.</S><S sid = NA ssid = NA>Smith (2002) suggested a bootstrapping paradigm for the construction of parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-3002.txt | Citing Article:  I08-2120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Besides, there are also some other types of methods for mining parallel corpora from the web such as the work in (Resnik, 1998), (Resnik and Smith, 2003) and (Zhang et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It presents, in revised and considerably extended form, our early work on mining the Web for bilingual text (STRAND) (Resnik 1998, 1999), incorporating new work on content-based detection of translations (Smith 2001, 2002), and efficient exploitation of the Internet Archive.</S><S sid = NA ssid = NA>More recently, researchers at Johns Hopkins University and the University of Maryland have been exploring new ways to exploit parallel corpora in order to develop monolingual resources and tools, using a process of annotation, projection, and training: Given a parallel corpus in English and a less resource-rich language, we project English annotations across the parallel corpus to the second language, using word-level alignments as the bridge, and then use robust statistical techniques in learning from the resulting noisy annotations (Cabezas, Dorr, and Resnik 2001; Diab and Resnik 2002; Hwa et al. 2002; Lopez et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-3002.txt | Citing Article:  P07-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unfortunately, parallel corpora are not readily available in large quantities, except for a small subset of the world's languages (see Resnik and Smith (2003) for discussion), therefore limiting the potential use of current SMT systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unfortunately, they are not readily available in the necessary quantities.</S><S sid = NA ssid = NA>Parallel text from the Web has been made available to the community in only a few pairs of languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-3002.txt | Citing Article:  N07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Resnik and Smith (2003) propose mining the web to collect parallel corpora for low-density language pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, the value of these techniques is demonstrated in the construction of a significant parallel corpus for a low-density language pair.</S><S sid = NA ssid = NA>Finally, the value of these techniques is demonstrated in the construction of a significant parallel corpus for a low-density language pair.</S> | Discourse Facet:  NA | Annotator: Automatic


